campaign_id,campaign_name,channel,campaign_type,start_date,budget
CMP-0001,Synergistic logistical structure, Facebook, Acquisition ,16-12-2025,"25,610.55"
CMP-0002,Cross-platform zero administration policy,Referral,Acquisition,26/04/2025,"$24,239.16"
CMP-0003,Organic clear-thinking product,linkedin, Upsell,2025-09-05,"$8,895.16"
CMP-0004,Advanced encompassing application,email,Acquisition,2025-09-10,$9115
CMP-0005,Re-contextualized systematic data-warehouse, LinkedIn,Brand Awareness,29-05-2025,"15,765.50 USD"
CMP-0006,Enterprise-wide explicit circuit,Webinar ,upsell,13-01-2025,33603.21
CMP-0007,Grass-roots zero-defect customer loyalty, Facebook ,Brand Awareness,"Jun 15, 2025",22747.53
CMP-0008,Self-enabling zero administration alliance, Webinar ,RETENTION,"Jun 29, 2025",$38082
CMP-0009,Assimilated reciprocal project, Webinar,Brand Awareness,2025-03-28,"47,519.67 USD"
CMP-0010,Configurable systemic support,Webinar,RETENTION,"Jul 07, 2025","32,244.60"
CMP-0011,Virtual logistical definition,LINKEDIN,Retention,"Nov 10, 2025","7,236.65"
CMP-0012,Customizable homogeneous core,Google Ads,Retention,05/10/2025,36002.93
CMP-0013,Face-to-face client-driven frame,LinkedIn , Upsell,05-04-2025,"$41,726.49"
CMP-0014,Stand-alone discrete ability,LinkedIn ,acquisition,16 Apr 2025,$24331
CMP-0015,Switchable multi-state projection,linkedin,acquisition,21/03/2025,$33737
CMP-0016,Synchronized modular task-force, Webinar, Acquisition ,2025-04-03,"21,381.94"
CMP-0017,Down-sized fault-tolerant extranet,linkedin,Upsell ,15-07-2025,"$16,792.96"
CMP-0018,Polarized motivating encoding,linkedin,Brand Awareness,"Jun 16, 2025",40782.02
CMP-0019,Re-engineered user-facing algorithm,LinkedIn ,Retention ,"Dec 15, 2025","USD 14,663.59"
CMP-0020,Pre-emptive bottom-line challenge, Webinar,Retention,17-04-2025,"USD 46,114.44"
CMP-0021,Configurable composite hierarchy,Facebook, Brand Awareness ,"Mar 07, 2025","33,834.17"
CMP-0022,Proactive regional workforce,Email ,retention,17/02/2025,$42955
CMP-0023,Quality-focused optimizing Internet solution,EMAIL,Acquisition ,"Sep 29, 2025","7,619.22"
CMP-0024,Right-sized asynchronous application, Referral,Upsell ,13/10/2025,7767.49
CMP-0025,Digitized exuding budgetary management,Google Ads , Brand Awareness ,15 Mar 2025,"USD 49,449.73"
CMP-0026,Re-contextualized motivating protocol, Webinar, Retention,2025-05-10,$33667
CMP-0027,Enhanced methodical task-force,Referral ,Acquisition ,12-05-2025,"30,784.03 USD"
CMP-0028,Diverse even-keeled frame,Email ,UPSELL,2025-03-16,"49,020.45 USD"
CMP-0029,Streamlined regional hierarchy, Webinar,Acquisition ,2025-09-05,"38,288.12 USD"
CMP-0030,Enhanced 5thgeneration intranet,Referral ,upsell,26 Jun 2025,15888.67
CMP-0011,Virtual logistical definition,LINKEDIN,Retention,"Nov 10, 2025","7,236.65"
CMP-0010,Configurable systemic support,Webinar,RETENTION,"Jul 07, 2025","32,244.60"
